編號,提出單位,提出建議,題庫方向,中文問題,中文答案,English Question,English Answer,問題說明
88,,,園區資訊,動物園內有提供遊客緊急電話服務嗎？位置在哪？,"園區緊急☎電話設置點包括：
- 臺灣動物區臺灣黑熊展場旁
- 昆蟲館服務臺外牆面
- 蟲蟲探索谷的谷內廁所旁
- 熱帶雨林區孟加拉虎與亞洲象展場之間
- 穿山甲館內及出口(近雨林區)
- 沙澳動物區駱駝站旁
- 非洲動物區長頸鹿展場旁
- 非洲動物區河馬與非洲象展場之間
- 非洲動物區斑哥羚羊展場旁
- 兩棲爬蟲館服務臺
- 兩棲爬蟲館內參觀動線中段
- 鳥園區鶴園旁
- 企鵝館內
- 溫帶動物區小貓熊廁所旁

供需要的遊客使用，只須拿起電話即可直接與遊客服務中心人員通話。","Yes, the zoo provides emergency phone service for visitors. The locations are as follows:
- Near the Taiwan Black Bear exhibit in the Taiwan Animal Area
- Outside the service desk of the Insectarium
- Next to the restroom in the Bug Exploration Valley
- Between the Bengal Tiger and Asian Elephant exhibits in the Tropical Rainforest Area
- Inside the Pangolin House and near the exit (close to the Rainforest Area)
- Next to the Camel station in the Sahara Animal Area
- Near the Giraffe exhibit in the African Animal Area
- Between the Hippo and African Elephant exhibits in the African Animal Area
- Next to the Guineafowl exhibit in the African Animal Area
- Service desk in the Amphibian and Reptile House
- Middle section of the visitor route inside the Amphibian and Reptile House
- Near the Crane exhibit in the Bird Garden
- Inside the Penguin House
- Next to the Red Panda restroom in the Temperate Zone

These are provided for visitors to use; simply pick up the phone to directly contact the visitor service center staff.",- Zoo Shop (Main Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=195&lang=en),
89,,,園區資訊,請問有接駁車資訊嗎?,"有的！園區提供遊客列車接駁服務：

營運時間：09:00–16:30（鳥園車站末班車往總站為17:00；往動物園南站為16:30）
票價：每人5元
站點：列車總站、鳥園車站、動物園南站
小提醒：若由動物園南站入口入園之團體，需同時支付每人5元接駁車資，且僅收現金。
列車總站 👉 點我導航
鳥園車站 👉 點我導航
動物園南站 👉 點我導航",Is there any information about the shuttle train timetable?,"Yes. Shuttle train service hours:

Main Station: 09:00–16:30
Bird World Station: 09:00–17:00 (last train to Main Station at 17:00; to Zoo South Station at 16:30)
Zoo South Station: 09:00–16:30 Fare: NT$5 per person.
👉 Navigate here (Main Station): https://zooguide.gov.taipei/home/map?poi_id=73&lang=en 👉 Navigate here (Bird World Station): https://zooguide.gov.taipei/home/map?poi_id=74&lang=en 👉 Navigate here (Zoo South Station): https://zooguide.gov.taipei/home/map?poi_id=75&lang=en",
90,,,園區資訊,請問有捷運相關資訊嗎?,"有的！捷運資訊如下：

文湖線：搭至「動物園站」下車。
板南線：至「市政府站」轉乘公車綠1、棕18或棕21前往。
（以上資料來自：動物園官網）",Is there any information about the MRT?,"Yes. MRT information:

Wenhu Line (Brown): Take the MRT to Taipei Zoo Station.
Bannan Line (Blue): Go to Taipei City Hall Station, then transfer to buses Green 1, Brown 18, or Brown 21 to the zoo.",
91,,,園區資訊,請問有提供素食或特殊飲食需求的餐點嗎?,"有的！園內多家餐飲點提供素食或可調整的選項：

貓熊餐廳（新光特展館2樓）— 可提供素食 👉 點我導航
小木屋鬆餅（非洲藝術廣場）— 多數甜/鹹鬆餅可選 👉 點我導航
青蛙廚房（兩棲爬蟲館出口旁）— 可提供素食 👉 點我導航
百味屋（非洲動物區河馬廣場）— 中式餐點部分可選 👉 點我導航
TIAN-MEE（非洲動物區河馬廣場）— 三明治、炸物等可選 👉 點我導航
愛爾蘭瘋薯（非洲動物區河馬廣場）— 薯條等素食友善 👉 點我導航
小提醒：實際供應以現場為準，若有全素/蛋奶素或過敏原需求，建議點餐前先告知服務人員。","
Do you provide vegetarian or special dietary requirements meals?","Yes! Several vendors offer vegetarian-friendly options (availability may vary on site):

Panda Restaurant (Giant Panda House 2F) – vegetarian options 👉 Navigate here
WOODEN HOUSE Waffles (African Arts Plaza) – many sweet/savory waffles 👉 Navigate here
Frog Kitchen (by Amphibian & Reptile House exit) – vegetarian options 👉 Navigate here
Bai Wei House (Hippo Plaza, African Area) – some Chinese dishes 👉 Navigate here
TIAN-MEE (Hippo Plaza, African Area) – sandwiches, snacks 👉 Navigate here
Irish Crazy Fries (Hippo Plaza, African Area) – fries and snacks 👉 Navigate here
Tip: For vegan/ovo-lacto or allergy needs, please inform staff when ordering.",
92,,,園區資訊,請問有園區內有提款機嗎?,"有的！遊客服務中心設有自動櫃員機（ATM）。
👉 點我導航",Is there any ATM machine in the park?,"Yes. There is an ATM in the Visitor Center.
👉 Navigate here",
93,,,園區資訊,請問園區內有急救站或醫護人員嗎?,有的！園內設有護理站與醫護人員，可協助突發不適、簡易傷口處置與量測。也可就近向各館服務台求助，或撥打(02)2938-2300 分機613洽詢。,"
Is there a first aid station or medical staff in the park?","Yes. The zoo has a First Aid station with on-site nursing staff. You can go to the First Aid at the Education Center (1F entrance right side). 👉 Navigate here For assistance, you can also contact the service center staff or call +886-2-2938-2300 ext. 613.",
94,育樂組,MINI ZOO實體店位置回答，應修改為位於「教育中心旁」,園區資訊,請問園區內有哪些特色商品或紀念品可以購買?,"在園區內，您可以購買以下特色商品和紀念品：

動物園店 ：位於大門出口旁，販售紀念品、服飾、教育類益智商品、影音類、古生物相關紀念商品，以及動物園紀念大頭貼。
貓熊商店 ：位於大貓熊館2樓，提供玩偶及系列文創商品、服飾/背包/方巾等紀念品、貓熊紀念大頭貼，以及大貓熊相關紀念商品。
企鵝小舖 ：位於企鵝館出口旁，販售各式紀念品、絨毛玩偶、造型棉花糖和消暑冰品。
我房間有動物園（網路店） ：在線上電商平台上，提供文創生活用品、文創辦公用品和聯名商品。
我房間有動物園（實體店） ：位於教育中心旁，販售文創生活用品、文創辦公用品和聯名商品。
這些店家提供多樣的商品選擇，讓您可以挑選到喜歡的紀念品帶回家喔！",What unique products or souvenirs are available for purchase within the park?,"Within the park, you can purchase a variety of unique merchandise and souvenirs at the following locations:

1. **Zoo Store:** Located next to the main exit, offering souvenirs, clothing, educational and puzzle products, multimedia items, paleontology-themed goods, and zoo-themed photo booth souvenirs.

2. **Panda Shop:** Located on the 2nd floor of the Giant Panda House, selling plush toys, creative panda-themed merchandise, apparel, bags, handkerchiefs, panda photo booth souvenirs, and other panda-related gifts.

3. **Penguin Gift Shop:** Located near the exit of the Penguin House, featuring various souvenirs, plush toys, themed marshmallows, and refreshing frozen treats.

4. **“My Room Has a Zoo” (Online Store):** Available on e-commerce platforms, offering creative lifestyle products, office supplies, and collaborative merchandise.

5. **“My Room Has a Zoo” (Physical Store):** Located next to the Education Center, providing creative lifestyle and office products, as well as co-branded items.

These shops offer a wide selection of merchandise, so you’re sure to find the perfect souvenir to take home!",
95,,,園區資訊,有問園區內有其他餐廳或咖啡廳的選擇嗎?,"有的！園區內餐飲選擇很多，您可以參考以下地點：

貓熊餐廳（新光特展館2樓）👉 點我導航
麥當勞（大門出口旁）👉 點我導航
小飯桌（大門出口旁）👉 點我導航
青蛙廚房（兩棲爬蟲動物館出口旁）👉 點我導航
怡客咖啡（穿山甲館2樓）👉 點我導航
小木屋鬆餅（非洲藝術廣場）👉 點我導航
瓦非棧（非洲藝術廣場）👉 點我導航
味百選（非洲藝術廣場）👉 點我導航
idoo土耳其（非洲藝術廣場）👉 點我導航
百味屋（河馬廣場）👉 點我導航
TIAN-MEE（河馬廣場）👉 點我導航
愛爾蘭瘋薯（河馬廣場）👉 點我導航
提醒：各室內展示館禁止飲食，請於戶外指定區用餐。",Are there other restaurants or cafes available within the park?,"Yes! Here are dining options inside the park:
- Panda Restaurant (Giant Panda House 2F) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=273&lang=en)
- McDonald’s (by Main Exit) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=275&lang=en)
- Little Lunch Box (by Main Exit) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=276&lang=en)
- Frog Kitchen (Amphibian & Reptile House exit) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=280&lang=en)
- Ikari Coffee (Pangolin Dome 2F) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=283&lang=en)
- Waffle Cabin (Africa Arts Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=268&lang=en)
- Wafy Station (Africa Arts Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=269&lang=en)
- Wei Bai Xuan (Africa Arts Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=270&lang=en)
- idoo Turkish Ice Cream (Africa Arts Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=271&lang=en)
- Bai Wei House (Hippo Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=328&lang=en)
- TIAN-MEE (Hippo Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=329&lang=en)
- Irish Potatoes (Hippo Plaza) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=330&lang=en)

Note: No food or drink inside indoor exhibit halls; please dine in outdoor designated areas.",
96,,,園區資訊,請問有提供輪椅租借服務嗎?,"有的，提供手推式與電動輪椅租借：

手推式輪椅：09:00–16:00，免費（押證件；無證件需押金1,000元），請於當日17:00前歸還。租借點：遊客服務中心旁、鳥園車站。 • 遊客服務中心旁 👉 點我導航 • 鳥園車站 👉 點我導航
電動輪椅：09:00–16:00，2小時200元起（逾15分鐘以1小時計），租借點：遊客服務中心旁。遇天候不佳暫停。 👉 點我導航
（以上資料來自：動物園官網）",Do you provide wheelchair rental service?,"Yes. We offer both manual and electric wheelchair rentals:

Manual wheelchair: 09:00–16:00, free (ID required; NT$1,000 deposit if no ID). Return by 17:00. • Near Visitor Service Center 👉 Navigate here • Bird World Station 👉 Navigate here
Electric wheelchair: 09:00–16:00, from NT$200 for 2 hours (every extra 15 min counts as 1 hour). Location: Near Visitor Service Center. Service may pause in bad weather. 👉 Navigate here",
97,育樂組,建議詳細說明如何預約、預約申請條件、非團客如何參與教育解說活動。,園區資訊,請問有提供園區導覽服務嗎?,有的。園區提供20人以上、國小以上學生與社會團體的預約導覽服務；個人遊客可參考全園的教育駐站與官網「最新消息＞教育活動」之時段資訊。若需申請細節，建議至官網「教育資源」查詢。若有其他問題也歡迎再問我！,"Do you provide guided tours of the park?""","Yes. Guided tours are available by reservation for groups of 20 or more (elementary students and social organizations). Individual visitors can join educational station activities; please check the Latest News > Education Activities on the official website for schedules. If you need application details, see the Education Resources section. ",
98,,,園區資訊,請問園區內有提供無障礙設施嗎?,"有的。園內提供多項無障礙設施與服務：

無障礙廁所：遍布各區（例：兩棲爬蟲動物館出入口、非洲動物區、溫帶動物區、小貓熊店旁等）。
輪椅租借：手推式（免費）與電動輪椅（付費），地點在遊客服務中心旁與鳥園車站。 • 遊客服務中心旁 👉 點我導航 • 鳥園車站 👉 點我導航 （資料來源：動物園官網與園區設施資料）",Does the park offer accessible facilities?,"Yes. The zoo provides multiple accessible facilities and services:

Accessible restrooms: Available at many locations, e.g., Reptile & Amphibian House (entrance/exit), African Animal Area, Temperate Zone near the Red Panda Shop.
Wheelchair rental: Manual (free) and electric (paid). • Near Visitor Service Center 👉 Navigate here • Bird World Station 👉 Navigate here",
99,,,園區資訊,動物園內哺乳室位置？有提供嬰幼兒特別服務嗎？,"園區哺乳室設置點：

遊客服務中心護理站內
非洲動物區河馬廣場旁
熱帶雨林區老虎店旁
兩棲爬蟲動物館出口處販賣站旁
溫帶區小貓熊店（萊爾富）旁
穿山甲館旁
園區尿布臺設置點：

全園女廁
遊客服務中心旁及護理站內
兩棲爬蟲動物館和教育中心男、女廁
娃娃車租借服務：

遊客服務中心旁、鳥園車站",Where is the nursing room located within the zoo? Are there any special services provided for infants and young children?,"Here are the nursing rooms in the zoo:

Visitor Center (inside the Nursing Station) 👉 Navigate here
African Animal Area, by Hippo Plaza restrooms 👉 Navigate here
Tropical Rainforest Area, next to the Tiger Shop restrooms 👉 Navigate here
Amphibian and Reptile House, near the exit vending area 👉 Navigate here
Temperate Zone, beside the Red Panda Shop (Hi-Life) 👉 Navigate here
Pangolin Dome (Rainforest Indoor House), 1F outdoor restroom 👉 Navigate here
Additional infant/young child services:

Diaper changing tables: in all female restrooms; also by the Visitor Center and inside the Nursing Station; in both male and female restrooms at the Amphibian & Reptile House and the Education Center.
Stroller rental: near the Visitor Center and at Bird World Station. 👉 Navigate here 👉 Navigate here",
100,,,園區資訊,請問有提供嬰幼兒推車租借服務嗎?,"
有的，提供娃娃車租借服務：

地點：遊客服務中心旁、鳥園車站 • 遊客服務中心旁 👉 點我導航 • 鳥園車站 👉 點我導航
時間：09:00–16:00，請於當日17:00前歸還
費用：輕巧款50元／次（限15KG以下）；旗艦款100元／次（限22KG以下）
押金：1,000元（歸還時退還）",Do you offer stroller rentals for infants and toddlers?,"Yes. Stroller rentals are available:

Locations: • Near the Visitor Service Center 👉 Navigate here • Bird World Station 👉 Navigate here
Hours: 09:00–16:00; please return by 17:00 the same day
Fees: Light model NT$50 (≤15 kg); Premium model NT$100 (≤22 kg)
Deposit: NT$1,000 (refunded upon return)",
101,,,動物面,我家附近的山區發現了一隻亂跑的臺灣山羌，不知道是不是從動物園展場區內跑出來的?,本園並沒有脫逃的山羌。現在山羌、白鼻心、藍腹鷴在很多山區都看得到。,I found a Formosan Reeve's Muntjac running around in the mountains near my home. I wonder if it escaped from the zoo's exhibit area?,- African Animal Area 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=208&lang=en),
102,,,動物面,請問白鼻心的習性為何?,白鼻心又叫果子狸，雜食性，但對果實更為偏愛。牠們很會爬樹，近年因大眾對於環境保護、尊重生命以及與野生動物共存的意識提升，有部分野生動物開始回到本來的棲息環境，或是因為族群數量上升因此民眾有更多機會看見或與牠們活動範圍重疊，白鼻心即是近年最明顯的例子。,What are the habits of the Formosan Gem-faced Civet?,- Temperate Zone 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=209&lang=en),
103,動物組,白鼻心為了尋找食物，偶爾會出現在民眾住家附近，甚至在窗台上活動或排泄。牠會選擇這些地點，表示該處對牠而言相對安全、安靜，能讓牠感到放鬆。,動物面,請問如何避免白鼻心靠近住家？,"白鼻心為了食物，會常常出現在民眾住家窗台排泄，這也表示該處令牠覺得安心放鬆。野生動物為了生存因此個性相當機警，要誘捕牠們並不容易，牠主要在樹上活動，建議修剪住家附近的樹木枝幹，使樹木枝幹與窗台有一段距離，應可有效減少白鼻心的造訪。另若有發現野生動物造訪，可以發出聲音或是敲窗驅趕，漸漸得動物不再覺得此地安全，應該也能減少造訪機會，或至少不會在此處放鬆的進行排泄。
白鼻心為了尋找食物，偶爾會出現在民眾住家附近，甚至在窗台上活動或排泄。牠會選擇這些地點，表示該處對牠而言相對安全、安靜，能讓牠感到放鬆。",How can I prevent Formosan Gem-faced Civet from approaching my home?,- Temperate Zone (beside Red Panda shop) 👉 [Navigate here](https://zooguide.gov.taipei/home/map?poi_id=210&lang=en),
104,,,遊客詢問,動物園以前的活動有贈送印有動物圖樣的口罩，請問是否有直接購買的管道?,動物園的口罩僅提供在園內辦理研習營或教育活動時贈與民眾互動的文宣品，因此口罩只送不賣，因販售醫用口罩須持有販賣業藥商許可執照，本園並無藥商資格，不得販售醫用口罩，否則會違反藥事法相關規定。歡迎您來參加本園辦理的相關活動，就有機會獲得可愛動物圖型的口罩！,The zoo previously gave away masks printed with animal designs during past events. Is there a way to purchase them directly?,"Sorry, the zoo’s animal-design masks are giveaway publicity items for on-site camps and educational activities only and are not for sale. Selling medical masks requires a pharmacy sales license, which the zoo does not hold. You may receive one by joining related zoo activities.",
105,,,動物面,請問動物園繁殖的石虎會進行野放嗎?,動物園的石虎繁殖是國內石虎整體保育計畫中的一環，石虎的未來是否留在動物園內擔任保育大使，還是回到野外棲地去與其他野生石虎繁衍下一代，將會由國內各單位的石虎保育專家們開會討論，找出對牠與對臺灣的石虎族群最有利的去處。野外的石虎正面臨的各種危機則需要其他的處理對策，您的關心將會是改善我們臺灣石虎未來的最有力的後盾。,Will the Leopard Cat bred in zoos be released into the wild?,"Leopard Cat breeding at the zoo is part of a broader national conservation program. Whether an individual stays as an ambassador or is released to the wild is decided by Taiwan’s Leopard Cat conservation experts, choosing what best benefits the animal and the wild population. Wild threats require separate actions from release efforts.",
106,,,動物面,為什麼動物園的穿山甲都在洞裡面？,穿山甲是夜行性動物，牠的自然習性一天睡眠時間長達16小時以上，考量本園展示動物原則，尊重動物天性並讓動物有選擇權，並不會過度干涉動物行為，然仍有考慮到遊客服務教育的需要，因此本園所設計的穿山甲仿洞即是希望藉由玻璃觀察窗展現動物自然行為，此外一天中亦安排有兩次的餵飼時間，遊客也有機會看到動物起身活動的狀態，以尊重動物需求為前提之下亦盡量提升可見度，以平衡動物需要及遊客需求。,Why are all the pangolins in the zoo in caves?,"Pangolins are nocturnal burrowers that sleep 16+ hours a day. The zoo designs “artificial burrows” to respect their natural need to hide and choose when to be visible. Viewing windows let visitors observe natural behaviors, and there are about two feeding sessions daily to increase chances of seeing them—balancing animal welfare and education. (Source: Taipei Zoo)",
107,,,動物面,為什麼石虎與雲豹在展場常常看不見？,石虎及雲豹屬於個性機敏的中小型貓科動物，其天性喜歡躲藏在隱密處或高處觀察外界動靜，此外又因為牠們是夜行性動物，因此在接近下午後半時段，相較於其他時段較有機會看到動物活動。本園亦會本於尊重動物需求為前提之下，持續思考展場的設計，以盡量提升動物可見度。,Why are  Leopard Cat  and Clouded Leopard often not seen in exhibitions?,"Leopard Cats and Clouded Leopards are shy, mostly nocturnal cats. They rest by day, often hiding in secluded spots or high perches to watch quietly. Their camouflage patterns help them blend in, making them hard to spot. Activity increases from late afternoon into night, so that’s when you’re likelier to see them. The zoo designs exhibits to respect these needs while improving visibility. (Source: Taipei Zoo)",
108,,,動物面,臺灣黑熊站立時，是代表什麼情緒？ ,各種動物有屬於自己的行為樣態，黑熊站立通常是為了威嚇其他個體或是站高方便觀察等。,"What does it mean when a Asian Black Bear stands upright?
","When a Asian Black Bear stands upright, it’s usually to:
- Intimidate or warn others (a threat display).
- Get a better view or sniff to assess surroundings.

(Source: Taipei Zoo animal guide)",
109,,,動物面,遊客模仿飼養員叫聲及模仿動作是否會影響黑熊？,基於動物福祉考量，園區各展示場(館)周邊皆設置提醒告示與服務中心進行不定時播音宣導，以提醒遊客避免不當行為，本園仍會加強人員巡查勸阻與播音宣導頻率，期提醒遊客配合遵守園區規定，共同維護動物健康和園區參觀環境。,"Will imitating the keeper’s calls or actions affect the Asian Black Bears?
","Yes. To protect the bears’ welfare, the zoo posts reminders and makes periodic announcements asking visitors not to mimic calls or actions. Such behavior can stress the bears. Staff also increase patrols and announcements to discourage it. (Source: Taipei Zoo)",
110,,,動物面,請問2024年野生動物救傷的數量，前三名分別是什麼動物？,感謝您對野生動物保育的關心與支持。根據本園2024年度的救傷統計資料，救援數量最多的野生動物前三名依序為：穿山甲、五色鳥及食蛇龜。 ,"In 2024, which three species ranked highest in the number of rescued wild animals?","According to the zoo’s 2024 rescue statistics, the top three rescued wild animals were:
- Pangolin
- Taiwan Barbet
- Yellow-margined Box Turtle

(Source: Taipei Zoo)",
111,,,動物面,最多造成這些野生動物受傷的前三個原因是什麼？,造成這些野生動物受傷的主要原因，前三名分別為：穿山甲遭犬隻攻擊、鳥類因撞擊玻璃（窗殺）受傷，以及各類動物因車輛撞擊（路殺）所致。,What are the top three causes of injuries to wild animals?,"The top three causes are:
- Dog attacks (especially on pangolins)
- Bird-window collisions (“window strikes”)
- Vehicle collisions (“roadkill”)

(Source: Taipei Zoo 2024 rescue statistics)",
112,,,動物面,請問穿山甲有手嗎？,穿山甲為四肢著地行走的哺乳動物，牠們的前肢上有五指，並且指端長著強而有力的爪子，用於挖掘和攀爬。牠們的前肢主要用於工作和生存需要，不像人類的手那樣可用於精細的操作，我們通常稱為前肢而不會稱為手。,Does a pangolin have hands?,"Pangolins don’t have “hands” like humans. They are four-legged mammals with short forelimbs, each having five digits ending in strong claws. The forelimbs are specialized for digging burrows and tearing into ant and termite nests, not for fine manipulation—so we call them forelimbs rather than hands. (Source: Taipei Zoo animal guide)",
113,,,動物面,在山區附近發現有穿山甲住在洞穴內，因為擔心牠有危險，請問動物園可以把牠帶回園區認養嗎？,由於穿山甲為保育類動物，基本上不可去騷擾、捕抓牠們，如果您對該動物的安全性與存活有疑慮，請洽當地的野生動物主管單位(一般會是當地縣市政府的動保處)，由該單位評估是否需要進行移地保護、救傷收容或是不予以干擾。若經主管單位評估該個體有圈養保護的需要，將會詢問包括本園在內的各個野生動物救傷收容單位執行照養任務。,A pangolin has been found living in a burrow near a mountain area. I’m worried it might be in danger — can the zoo take it back and care for it?,"Thank you for caring. Pangolins are protected wildlife, so please do not disturb or capture it. If you’re concerned about its safety, contact your local government’s wildlife authority/animal protection office. They will assess whether rescue, relocation, or no intervention is appropriate. If captive care is needed, they will coordinate with authorized wildlife rescue centers (which may include our zoo). (Source: Taipei Zoo)",
114,,,動物面,請問熱帶雨林館（即穿山甲館）內青鸞等大鳥可以承受遊客超近距離的抗壓力嗎?,本園穿山甲館採沉浸式展示手法，讓民眾和動物都能自然融入環境中，除了在參觀步道周圍設置標語，提醒勿觸摸餵食動物外，也會有工作人員不定時巡邏，但更重要的是，遊客尊重和愛護動物的意識也必須提升！,Can large birds such as the Crested Argus inside the Tropical Rainforest House (also known as the Pangolin House) tolerate close proximity to visitors without stress?,"The Pangolin House uses immersive design so people and animals share the space calmly. We post “do not touch/feed” signs and staff patrol intermittently, but the key is visitor behavior: keeping respectful distance, staying quiet, and not reaching toward birds. With these measures, birds like the Crested Argus can remain comfortable. Please help by observing gently. (Source: Taipei Zoo)",
115,,,動物面,保育廊道內有貓頭鷹及穿山甲住在一起這樣可以嗎?,該場地為穿山甲及領角鴞的混種展示空間，兩種動物可以同住在一起，領角鴞主要住在高處，穿山甲是利用地面活動，混種展示可以讓場地充分被動物利用，也是國際上慣常用的展示手法。,Is it acceptable for owls and pangolins to live together in the Conservation Corridor?,"Yes. That space is a mixed-species exhibit for pangolins and collared scops owls. Owls mainly use high perches, while pangolins stay on the ground, so they can share the habitat. Mixed exhibits help animals use the whole space and are a common international practice. (Source: Taipei Zoo)",
116,"動物組
推廣組","模擬熱帶雨林的布置
熱帶雨林區的大王花、蟒蛇等為仿真模型，用來還原真實雨林生態景觀。並搭配解說牌介紹大王花、黃環林蛇、印度岩蟒、倒木、蕈類與低層植物等。",動物面,想詢問熱帶雨林區展覽的大食人花和樹上掛的蛇，都是真的嗎？,熱帶雨林區的大王花、蟒蛇等為仿真模型，用來還原真實雨林生態景觀。並搭配解說牌介紹大王花、黃環林蛇、印度岩蟒、倒木、蕈類與低層植物等。,Are the giant pitcher plants and the snakes hanging from the trees in the Tropical Rainforest exhibit real?,"The giant rafflesia and pythons in the tropical rainforest zone are simulated models designed to recreate authentic rainforest ecosystems. Interpretive panels provide information on the giant rafflesia, yellow-banded tree snake, Indian rock python, fallen logs, fungi, and understory plants.",
117,,,遊客面,請問動物園的場館內禁止喝水嗎？,喝水是可以的，但室內場館仍維持全面禁止飲食，感謝您的配合以維護展區環境衛生。,Is drinking water prohibited inside the zoo’s exhibition halls?,"Drinking water is allowed. However, all indoor exhibition halls remain strictly no eating. Thank you for helping keep the exhibits clean.",
118,,,遊客面,請問團體購票方式是什麼?,團體票適用對象為團體購票人數達30人者，請先全體集合好並由入口票務服務人員清點確認人數後，始可購買團體票。,What is the procedure for group ticket purchases?,"Groups of 30 or more qualify for group tickets (NT$70 per person). Please assemble your whole group at the entrance; ticket staff will verify the headcount before purchase. If entering via Zoo Maokong Gondola South Station, an extra NT$5 per person cash fare for the shuttle train is required; credit-card-paying groups should enter via the Main Gate instead. (Source: Taipei Zoo)",
119,,,遊客面,請問招募志工的相關資訊是什麼？,每年度志工招募均有固定期程，預計於7月下旬至8月間開放報名、9月安排面試，相關招募簡章均於本園網站公告；本園網頁公告位置：首頁-加入我們-志工服務-志工召募-報名資訊。,Where can I find information about volunteer recruitment?,"Volunteer recruitment is typically open in late July to August, with interviews in September. Details and application info are posted on the zoo website: Home → Join Us → Volunteer Service → Volunteer Recruitment → Application Info. (Source: Taipei Zoo Official Website)",
120,,,動物面,從哪裡可以知道動物停展的資訊？,動物展場如遇整修、動物醫療或是遇到酷暑或是嚴冬動物無對外展示，動物展示現場懸掛停展或是動物開放自由進出等告示牌，停展公告亦會同步公告於本園售票口的人工諮詢台以及本園官網。,Where can I find information about animals that are temporarily off exhibit?,"You can find “off exhibit” information in three places:
- Signs at the exhibit (e.g., “Closed,” “Animals may enter/exit freely”)
- The staffed info desk at the ticketing entrance
- The zoo’s official website announcements

Tip: Check the website before visiting, then confirm with on-site signs.",
121,,,遊客面,請問園區內有沒有吸煙區？,本園為環境教育場域，並於民國105年5月公告為無菸公園示範區，故全園全面禁菸，請勿在園區包括工作車道、販賣站後方或廁所內吸菸，謝謝您的配合。,Are there designated smoking areas inside the zoo?,"No. The entire zoo is a smoke-free area; smoking is prohibited anywhere on the grounds. Violations may be fined up to NT$10,000. (Source: Taipei Zoo)",
122,,,遊客面,請問哪裡有哺乳室？,本園已設立6處12間哺乳室，歡迎使用本園智慧化動物園導覽導航系統查閱離您最近的哺乳室位置。,Where can I find the nursing rooms in the zoo?,"The following locations provide nursing rooms:

Visitor Center (inside the Nursing Station) 👉 Navigate here
Tropical Rainforest Indoor House (Pangolin Dome, 1F outdoor area restroom) 👉 Navigate here
Tropical Rainforest Indoor House (Amphibian and Reptile House) 👉 Navigate here
Tropical Rainforest Area (next to the Tiger Shop restroom) 👉 Navigate here
African Animal Area (beside Hippo Shop restrooms) 👉 Navigate here
Temperate Zone (next to the Hi-Life convenience store) 👉 Navigate here",
123,,,動物面,在哪裡可以看到貓頭鷹？,臺灣動物區可以看到領角鴞，而在鳥園廣場可以看到褐林鴞和黃魚鴞，歡迎使用本園智慧化動物園導覽導航系統查閱並可導航至該動物展區。,Where can I see owls in the zoo?,"You can see owls at these exhibits:

Taiwan Animals Area: Collared Scops Owl 👉 Navigate here
Bird World: Tawny Fish Owl (facts listed under Bird World)
(Source: Taipei Zoo animal guide)",
124,,,遊客面,如果我在園區內發生意外，請問如何申請理賠？,本園已投保公共意外責任險，歡迎您直接前往服務中心或護理站洽詢相關細節，或撥打電話(02)29382300分機613，護理師等服務人員將竭誠為您服務。,"If I have an accident inside the zoo, how can I apply for compensation?","The zoo carries public liability insurance. Please go to the Visitor Center or the Nursing Station for assistance, or call +886-2-2938-2300 ext. 613. Staff (nurses) will help you with compensation procedures.",
125,,,遊客面,請問入園門票有提供哪些方式支付? ,本園動物園南站設有自動售票機及入口閘門可提供遊客使用電子票證(悠遊卡、一卡通、愛金卡)刷卡感應扣款入園，歡迎您瀏覽本園官網資訊。,What payment methods are available for park entrance tickets?,"You can enter by tapping electronic stored-value cards at the gates: EasyCard, iPASS, and icash. At the Zoo South Station, there are ticket machines and entry gates that accept these cards. For other payment options, please refer to the official website at the entrance ticket section. (Source: Taipei Zoo)",
126,,,遊客面,我使用自動販賣機已經依照操作步驟操作，但東西都沒出來，好像是故障了，請問可以找誰處理？,麻煩您前往大門口附近的遊客服務中心，洽詢自動販賣機相關疑義並由服務中心人員辦理現場退費事宜。,"I followed all the steps on the vending machine, but nothing came out—it seems to be malfunctioning. Who should I contact for assistance?",Please go to the Visitor Center near the Main Gate. Staff there handle vending-machine issues and can process on-site refunds. 👉 Navigate here,
